,value_as_string,0,1,2
596,DCNQ^RLHIMDCU CH31^CH31-31,DCNQ,RLHIMDCU CH31,CH31-31
939,DCNQ^RLHIMDCU CH04^CH04-04,DCNQ,RLHIMDCU CH04,CH04-04
316,DCNQ^RLHIMDCU CH17^CH17-17,DCNQ,RLHIMDCU CH17,CH17-17
918,DCNQ^RLHIMDCU SR06^SR06-06,DCNQ,RLHIMDCU SR06,SR06-06
1550,DCNQ^RLHIMDCU CH12^CH12-12,DCNQ,RLHIMDCU CH12,CH12-12
1601,DCNQ^RLHIMDCU SR05^SR05-05,DCNQ,RLHIMDCU SR05,SR05-05
1287,DCNQ^RLHIMDCU CH25^CH25-25,DCNQ,RLHIMDCU CH25,CH25-25
1231,DCNQ^RLHIMDCU CH06^CH06-06,DCNQ,RLHIMDCU CH06,CH06-06
1587,DCNQ^RLHIMDCU CH28^CH28-28,DCNQ,RLHIMDCU CH28,CH28-28
1581,DCNQ^RLHIMDCU CH39^CH39-39,DCNQ,RLHIMDCU CH39,CH39-39
1301,DCNQ^RLHIMDCU CH03^CH03-03,DCNQ,RLHIMDCU CH03,CH03-03
1210,DCNQ^RLHIMDCU CH26^CH26-26,DCNQ,RLHIMDCU CH26,CH26-26
1313,DCNQ^RLHIMDCU CH35^CH35-35,DCNQ,RLHIMDCU CH35,CH35-35
1711,DCNQ^RLHIMDCU SR04^SR04-04,DCNQ,RLHIMDCU SR04,SR04-04
1714,DCNQ^RLHIMDCU CH38^CH38-38,DCNQ,RLHIMDCU CH38,CH38-38
1319,DCNQ^RLHIMDCU CH11^CH11-11,DCNQ,RLHIMDCU CH11,CH11-11
1270,DCNQ^RLHIMDCU CH05^CH05-05,DCNQ,RLHIMDCU CH05,CH05-05
1345,DCNQ^RLHIMDCU SR02^SR02-02,DCNQ,RLHIMDCU SR02,SR02-02
217,DCNQ^null^null,DCNQ,null,null
1180,DCNQ^RLHIMDCU CH16^CH16-16,DCNQ,RLHIMDCU CH16,CH16-16
1603,DCNQ^RLHIMDCU CH08^CH08-08,DCNQ,RLHIMDCU CH08,CH08-08
1789,DCNQ^RLHIMDCU CH32^CH32-32,DCNQ,RLHIMDCU CH32,CH32-32
1542,DCNQ^RLHIMDCU CH14^CH14-14,DCNQ,RLHIMDCU CH14,CH14-14
128,DCNQ^RLHIMDCU CH09^CH09-09,DCNQ,RLHIMDCU CH09,CH09-09
1465,DCNQ^RLHIMDCU SR03^SR03-03,DCNQ,RLHIMDCU SR03,SR03-03
1470,DCNQ^RLHIMDCU CH10^CH10-10,DCNQ,RLHIMDCU CH10,CH10-10
106,DCNQ^RLHIMDCU CH19^CH19-19,DCNQ,RLHIMDCU CH19,CH19-19
154,DCNQ^RLHIMDCU CH27^CH27-27,DCNQ,RLHIMDCU CH27,CH27-27
1395,DCNQ^RLHIMDCU CH23^CH23-23,DCNQ,RLHIMDCU CH23,CH23-23
1071,DCNQ^RLHIMDCU CH30^CH30-30,DCNQ,RLHIMDCU CH30,CH30-30
1172,DCNQ^RLHIMDCU CH24^CH24-24,DCNQ,RLHIMDCU CH24,CH24-24
1085,DCNQ^RLHIMDCU CH37^CH37-37,DCNQ,RLHIMDCU CH37,CH37-37
1504,DCNQ^RLHIMDCU CH36^CH36-36,DCNQ,RLHIMDCU CH36,CH36-36
1548,DFNQ^C3DF BY04^BY04-04,DFNQ,C3DF BY04,BY04-04
377,DFNQ^C3DF BY04^BY04-01,DFNQ,C3DF BY04,BY04-01
181,DFNQ^C3DF BY04^BY04-05,DFNQ,C3DF BY04,BY04-05
893,DFNQ^C3DF BY03^BY03-04,DFNQ,C3DF BY03,BY03-04
149,DFNQ^C3DF BY03^BY03-03,DFNQ,C3DF BY03,BY03-03
1566,DFNQ^C3DF BY03^BY03-02,DFNQ,C3DF BY03,BY03-02
1561,DFNQ^C3DF BY01^BY01-05,DFNQ,C3DF BY01,BY01-05
156,DFNQ^C3DF BY02^BY02-05,DFNQ,C3DF BY02,BY02-05
91,DFNQ^C3DF SR03^SR03-03,DFNQ,C3DF SR03,SR03-03
1373,DFNQ^C3DF BY03^BY03-06,DFNQ,C3DF BY03,BY03-06
636,DFNQ^C3DF BY04^BY04-03,DFNQ,C3DF BY04,BY04-03
193,DFNQ^C3DF BY01^BY01-03,DFNQ,C3DF BY01,BY01-03
759,DFNQ^C3DF BY04^BY04-06,DFNQ,C3DF BY04,BY04-06
571,DFNQ^C3DF SR01^SR01-01,DFNQ,C3DF SR01,SR01-01
392,DFNQ^C3DF BY02^BY02-01,DFNQ,C3DF BY02,BY02-01
1073,DFNQ^C3DF BY01^BY01-02,DFNQ,C3DF BY01,BY01-02
60,DFNQ^C3DF BY01^BY01-04,DFNQ,C3DF BY01,BY01-04
593,DFNQ^C3DF BY03^BY03-05,DFNQ,C3DF BY03,BY03-05
53,DFNQ^C3DF SR02^SR02-02,DFNQ,C3DF SR02,SR02-02
1075,DFNQ^C3DF WAITING^WAIT,DFNQ,C3DF WAITING,WAIT
1737,DFNQ^C3DF BY02^BY02-02,DFNQ,C3DF BY02,BY02-02
34,DFNQ^C3DF BY02^BY02-04,DFNQ,C3DF BY02,BY02-04
1799,DFNQ^C3DF BY01^BY01-01,DFNQ,C3DF BY01,BY01-01
1797,DFNQ^C3DF BY02^BY02-06,DFNQ,C3DF BY02,BY02-06
425,DFNQ^C3DF BY03^BY03-01,DFNQ,C3DF BY03,BY03-01
1040,DFNQ^C3DF BY04^BY04-02,DFNQ,C3DF BY04,BY04-02
1159,DFNQ^C3DF BY02^BY02-03,DFNQ,C3DF BY02,BY02-03
1021,DWRD^RNTNED BY01^BY01-01,DWRD,RNTNED BY01,BY01-01
338,DWRD^RNTNED BY03^BY03-13,DWRD,RNTNED BY03,BY03-13
1130,DWRD^RNTNED BY03^BY03-12,DWRD,RNTNED BY03,BY03-12
452,DWRD^RNTNED WAITING^WAIT,DWRD,RNTNED WAITING,WAIT
322,DWRD^RNTNED BY03^BY03-16,DWRD,RNTNED BY03,BY03-16
677,DWRD^RNTNED BY03^BY03-15,DWRD,RNTNED BY03,BY03-15
1551,DWRD^RNTNED BY02^BY02-09,DWRD,RNTNED BY02,BY02-09
570,DWRD^RNTNED BY03^BY03-14,DWRD,RNTNED BY03,BY03-14
550,DWRD^RNTNED BY01^BY01-06,DWRD,RNTNED BY01,BY01-06
1626,DWRD^null^null,DWRD,null,null
1659,DWRD^RNTNED BY01^BY01-03,DWRD,RNTNED BY01,BY01-03
634,DWRD^RNTNED BY02^BY02-11,DWRD,RNTNED BY02,BY02-11
1206,DWRD^RNTNED BY01^BY01-04,DWRD,RNTNED BY01,BY01-04
1570,DWRD^RNTNED BY02^BY02-10,DWRD,RNTNED BY02,BY02-10
1578,DWRD^RNTNED BY02^BY02-08,DWRD,RNTNED BY02,BY02-08
142,E02THR^EGAE02THR POOL01^THR,E02THR,EGAE02THR POOL01,THR
1607,E02THR^null^null,E02THR,null,null
1671,EAU^UCH T00 EAU BY02^BY02-10,EAU,UCH T00 EAU BY02,BY02-10
419,EAU^null^null,EAU,null,null
575,EAU^UCH T00 EAU BY01^BY01-05,EAU,UCH T00 EAU BY01,BY01-05
1800,EAU^UCH T00 EAU BY02^BY02-14,EAU,UCH T00 EAU BY02,BY02-14
1515,EAU^UCH T00 EAU BY02^BY02-11,EAU,UCH T00 EAU BY02,BY02-11
1816,EAU^UCH T00 EAU BY02^BY02-CH16,EAU,UCH T00 EAU BY02,BY02-CH16
467,EAU^UCH T00 EAU BY01^BY01-CH01,EAU,UCH T00 EAU BY01,BY01-CH01
1828,EAU^UCH T00 EAU BY02^BY02-08,EAU,UCH T00 EAU BY02,BY02-08
1682,EAU^UCH T00 EAU BY02^BY02-09,EAU,UCH T00 EAU BY02,BY02-09
1691,EAU^UCH T00 EAU BY01^BY01-07,EAU,UCH T00 EAU BY01,BY01-07
682,EAU^UCH T00 EAU BY01^BY01-03,EAU,UCH T00 EAU BY01,BY01-03
1528,EAU^UCH T00 EAU BY01^BY01-04,EAU,UCH T00 EAU BY01,BY01-04
1069,EAU^UCH T00 EAU BY01^BY01-06,EAU,UCH T00 EAU BY01,BY01-06
1489,EAU^UCH T00 EAU BY01^BY01-CH02,EAU,UCH T00 EAU BY01,BY01-CH02
1251,EAU^UCH T00 EAU BY02^BY02-CH15,EAU,UCH T00 EAU BY02,BY02-CH15
1399,EAU^UCH T00 EAU BY02^BY02-12,EAU,UCH T00 EAU BY02,BY02-12
830,EAU^UCH T00 EAU SR17^SR17-17,EAU,UCH T00 EAU SR17,SR17-17
1447,ED^UCHED RAT05^RAT-05,ED,UCHED RAT05,RAT-05
545,ED^UCHED UTCCH01^13-UTC CHAIR,ED,UCHED UTCCH01,13-UTC CHAIR
1011,ED^UCHED PAEDS04^04-PAEDS,ED,UCHED PAEDS04,04-PAEDS
1009,ED^UCHED MAJORS13^13-MAJORS,ED,UCHED MAJORS13,13-MAJORS
1204,ED^UCHED MAJORS04^04-MAJORS,ED,UCHED MAJORS04,04-MAJORS
408,ED^UCHED RAT06^RAT-CHAIR-06,ED,UCHED RAT06,RAT-CHAIR-06
1211,ED^UCHED RESUS04^04-RESUS,ED,UCHED RESUS04,04-RESUS
1663,ED^UCHED MAJORS07^07-MAJORS,ED,UCHED MAJORS07,07-MAJORS
205,ED^UCHED MAJ314^MAJ3-14,ED,UCHED MAJ314,MAJ3-14
202,ED^UCHED UTC06^06-UTC,ED,UCHED UTC06,06-UTC
583,ED^UCHED UTC OP^OPTHALMOLOGY ROOM,ED,UCHED UTC OP,OPTHALMOLOGY ROOM
